category,difficulty,question,correct_answer,incorrect_answers
Entertainment: Video Games,medium,Who's the creator of Geometry Dash?,Robert Topala,"Scott Cawthon, Adam Engels, Andrew Spinks"
History,medium,What disease crippled President Franklin D. Roosevelt and led him to help the nation find a cure? ,Polio,"Cancer, Meningitis, HIV"
Art,hard,Painter Piet Mondrian (1872 - 1944) was a part of what movement?,Neoplasticism,"Precisionism, Cubism, Impressionism"
Animals,medium,What type of animal is a natterjack?,Toad,"Bird, Fish, Insect"
Animals,easy,What is the fastest  land animal?,Cheetah,"Lion, Thomson’s Gazelle, Pronghorn Antelope"
General Knowledge,easy,What was the name of the WWF professional wrestling tag team made up of the wrestlers Ax and Smash?,Demolition,"The Dream Team, The Bushwhackers, The British Bulldogs"
Geography,easy,What is the capital of Indonesia?,Jakarta,"Bandung, Medan, Palembang"
Entertainment: Video Games,easy,Which game did NOT get financed via Crowdfunding?,Enter the Gungeon,"Town of Salem, Undertale, Tower Unite"
Entertainment: Television,medium,"In the original Doctor Who series (1963), fourth doctor Tom Baker's scarf was how long?",7 Meters,"10 Meters, 2 Meters, 5 Meters"
Vehicles,medium,Which of the following passenger jets is the longest?,Boeing 747-8,"Airbus A350-1000, Airbus A330-200, Boeing 787-10"
History,easy,"Which famous world leader is famed for the saying, ""Let them eat cake"", yet is rumored that he/she never said it at all?",Marie Antoinette,"Czar Nicholas II, Elizabeth I, Henry VIII"
Geography,medium,Which of the following countries does NOT recognize Armenia as an independent country?,Pakistan,"Iran, Turkey, Azerbaijan"
Entertainment: Television,easy,Which of these Bojack Horseman characters is a human?,Todd Chavez,"Lennie Turtletaub, Princess Carolyn, Tom Jumbo-Grumbo"
Politics,easy,The largest consumer market in 2015 was...,The United States of America,"Germany, Japan, United Kingdom"
Entertainment: Video Games,medium,"What is the final game of the ""Zero Escape"" series called?",Zero Escape Zero Time Dilemma ,"Nine Hours, Nine Persons, Nine Doors , Zero Escape Virtue's Last Reward, The Nonary Game: Sigma's Last Life"
Entertainment: Video Games,medium,"Who is the main character of ""Metal Gear Solid 3""?",Naked Snake,"Solid Snake, Liquid Snake, Venom Snake"
Entertainment: Film,medium,Which movie of film director Stanley Kubrick is known to be an adaptation of a Stephen King novel?,The Shining,"2001: A Space Odyssey,  Dr. Strangelove , Eyes Wide Shut"
Entertainment: Video Games,medium,"In Need For Speed: Most Wanted (2005), how many people are there to defeat on the blacklist?",15,"5, 10, 20"
Entertainment: Video Games,easy,"In the Half-Life series, Gordon Freeman's signature weapon is a:",Crowbar,"Sledgehammer, Fiber Wire, Katana"
Entertainment: Cartoon & Animations,easy,"Who created the Cartoon Network series ""Adventure Time""?",Pendleton Ward,"J. G. Quintel, Ben Bocquelet, Rebecca Sugar"
Entertainment: Video Games,easy,"In the videogame Bully, what is the protagonist's last name?",Hopkins,"Smith, Kowalski, Crabblesnitch"
Entertainment: Books,easy,"Who was the author of the 1954 novel, ""Lord of the Flies""?",William Golding,"Stephen King, F. Scott Fitzgerald, Hunter Fox"
Entertainment: Video Games,easy,How many differently shaped Tetris pieces are there?,7,"5, 6, 8"
Geography,medium,Where is the world's oldest still operational space launch facility located?,Kazakhstan,"Russia, Iran, United States"
Entertainment: Video Games,medium,"When was Chapter 1 of the Source Engine mod ""Underhell"" released?","September 1st, 2013","March 3rd, 2011, September 12th, 2013, October 2nd, 2012"
Science: Computers,easy,"In ""Hexadecimal"", what color would be displayed from the color code? ""#00FF00""?",Green,"Red, Blue, Yellow"
Entertainment: Video Games,medium,"What is the first primary weapon the player gets in ""PAYDAY: The Heist""?",AMCAR-4,"Brenner 21, Reinbeck, M308"
Entertainment: Video Games,medium,"In Terraria, what does the Wall of Flesh not drop upon defeat?",Picksaw,"Pwnhammer, Breaker Blade, Laser Rifle"
Entertainment: Television,easy,"What is the name of the main character in ""The Flash"" TV series?",Barry Allen,"Oliver Queen, Bart Allen, Bruce Wayne"
Celebrities,medium,What was the name of Marilyn Monroe's first husband?,James Dougherty,"Joe Dimaggio, Kirk Douglas, Arthur Miller"
Entertainment: Television,easy,"In Star Trek: The Next Generation, what is the name of Data's cat?",Spot,"Mittens, Tom, Kitty"
Entertainment: Video Games,easy,When was Left 4 Dead 2 released?,"November 17, 2009","May 3, 2008, November 30, 2009, June 30, 2010"
Entertainment: Video Games,medium,"Which town was Seamus ""Sledge"" Cowden from ""Tom Clancy's Rainbow Six Siege"" born in?",John O'Groats,"Brawl, Kearvaig, Talmine"
Entertainment: Television,hard,What is the Klingon's afterlife called?,Sto-vo-kor,"Valhalla, Karon'gahk, New Jersey"
Entertainment: Japanese Anime & Manga,hard,"In ""Hunter x Hunter"", what are members in Killua's family known for being?",Assassins,"Bandits, Hunters, Ninjas"
Geography,medium,"Colchester Overpass, otherwise known as ""Bunny Man Bridge"", is located where?","Fairfax County, Virginia","Medford, Oregon, Braxton County, Virgina, Lemon Grove, California"
Mythology,medium,"In African mythology, Anansi is a trickster and storyteller who takes the shape of which animal?",Spider,"Wild dog, Monkey, Crocodile"
Entertainment: Film,easy,Where does the original Friday The 13th movie take place?,Camp Crystal Lake,"Packanack, Higgins Haven, Camp Forest Green"
History,medium,What was the code name for the German invasion of the Soviet Union in WW2?,Operation Barbarossa,"Operation Kaiserschlact, Operation Unthinkable, Operation Molotov"
Entertainment: Film,medium,"Which director directed the movie ""Pan's Labyrinth""?",Guillermo Del Toro,"Alfonso Cuarón, Alejandro González Iñárritu,  Alejandro Jodorowsky"
Entertainment: Television,medium,On the NBC show Community what was Star Burns' real name?,Alex,"Todd, Neal, Grimus"
Animals,easy,"By definition, where does an abyssopelagic animal live?",At the bottom of the ocean,"In the desert, On top of a mountain, Inside a tree"
Entertainment: Film,easy,Which of these Movies was NOT released in 1996?,Gladiator,"Independence Day, The Rock, Mission: Impossible"
Art,easy,Which painting was not made by Vincent Van Gogh?,The Ninth Wave,"Café Terrace at Night, Bedroom In Arles, Starry Night"
History,hard,Who was the first man to travel into outer space twice?,Gus Grissom,"Vladimir Komarov, Charles Conrad, Yuri Gagarin"
Entertainment: Television,hard,"In the show 'Doctor Who', what is the name of the time-capsule model stolen by 'the Doctor'?","TT Type 40, Mark 3 (TARDIS)","TT Type 1, Mark 3 (TARDIS), TT Type 40, Mark 5 (TARDIS), TT Type 1, Mark 5 (TARDIS)"
Entertainment: Video Games,medium,In which U.S. state is Far Cry 5's fictional setting 'Hope County' located?,Montana,"Idaho, Wyoming, North Carolina"
General Knowledge,easy,When was the Playstation 3 released?,"November 11, 2006","January 8, 2007, December 25, 2007, July 16, 2006"
Entertainment: Video Games,easy,"In Splatoon 2, who are the members of Off The Hook?",Pearl & Marina,"Callie & Marie, Diamond & Aquamarina, DJ Octavio & Crusty Sean"
Entertainment: Video Games,medium,"In the Super Mario Bros. series, what game is the  ""Carrot"" power-up from?",Super Mario Land 2: The 6 Golden Coins,"Super Mario World, Super Mario Land, Super Mario 3D Land"
